x,y,u,v,p,T
-0.196229,-0.94996,-0.864012,0.178415,0.168701,0.110902
0.0536302,-0.609674,0.388752,-0.0945232,-0.481879,0.960605
0.0537873,0.608421,-0.460975,-0.114566,0.042039,0.831905
-0.0781937,-0.967849,-0.882903,0.0713251,0.2018,0.109671
0.0142442,0.971604,0.862701,-0.013631,0.776641,0.0507547
0.140143,-0.95899,-0.868181,-0.126912,0.247501,0.121093
0.137009,0.962141,0.84719,-0.121592,0.95443,0.0476712
0.255784,-0.937766,-0.85779,-0.233999,0.312768,0.111764
0.255939,0.939651,0.82875,-0.226485,1.14431,0.041675
0.152623,-0.624811,0.39216,-0.0311756,-0.395062,0.962527
0.15223,0.6248,-0.44382,-0.0386115,0.373475,0.819464
0.282178,-0.626616,0.355877,0.0443023,-0.261239,0.952985
0.282267,0.621356,-0.400916,0.0477864,0.763623,0.810775
0.455923,-0.864706,-0.807001,-0.425525,0.454827,0.0918282
0.458869,0.863367,0.768909,-0.409044,1.46757,0.0318908
0.438587,-0.578416,0.336153,0.136116,-0.0954675,0.952695
0.436875,0.580338,-0.326451,0.126857,1.13195,0.803355
0.373064,0.899576,0.788091,-0.327491,1.31698,0.0391377
0.372225,-0.898631,-0.824021,-0.341186,0.370634,0.110876
0.0458191,-0.971591,-0.891206,-0.0420861,0.247834,0.10563
-0.536028,-0.814508,-0.755486,0.497122,0.154967,0.0855014
-0.580851,0.780383,0.723297,0.537689,0.10419,0.061698
0.532963,-0.812227,-0.74143,-0.486579,0.453482,0.117786
0.534018,0.812965,0.702814,-0.462078,1.53714,0.0374479
0.650856,-0.721445,-0.659222,-0.594704,0.5503,0.117725
0.654056,0.718179,0.615047,-0.560223,1.67904,0.037838
0.72229,-0.652355,-0.600103,-0.664315,0.6365,0.110583
0.717997,0.656813,0.568368,-0.621019,1.75702,0.0356848
0.529487,-0.532736,0.291226,0.176964,0.0274056,0.940016
0.523576,0.532236,-0.295046,0.174017,1.28156,0.827494
0.628714,-0.458096,0.225585,0.206501,0.186511,0.918105
0.629473,0.45206,-0.218381,0.201109,1.41267,0.819823
0.82932,-0.507105,-0.464535,-0.759859,0.779837,0.112941
0.830812,0.504371,0.436693,-0.717994,1.81508,0.0415938
0.873485,-0.427916,-0.392859,-0.802325,0.87043,0.107846
0.870992,0.426369,0.367221,-0.747578,1.78941,0.049396
0.774879,-0.583792,-0.530642,-0.704414,0.679588,0.122706
0.778714,0.586183,0.512934,-0.68076,1.8141,0.034851
0.907234,-0.344886,-0.313646,-0.825764,0.949803,0.112507
0.908142,0.344447,0.301363,-0.79157,1.76762,0.0524993
0.697431,-0.381692,0.17365,0.220342,0.328659,0.900863
0.696635,0.380085,-0.156671,0.197122,1.44235,0.806182
0.935561,-0.257658,-0.233455,-0.849161,1.05866,0.107977
0.936878,0.250734,0.220043,-0.8178,1.6868,0.0636072
0.808669,-0.14662,0.0538661,0.209481,0.740278,0.857265
0.810064,0.140921,-0.0444974,0.186316,1.22916,0.815335
0.826551,-0.0168673,0.00673216,0.186164,0.973224,0.831495
0.966029,0.0807058,0.0727226,-0.855534,1.50169,0.081963
0.965044,-0.106841,-0.0957949,-0.872542,1.26521,0.0945981
-0.426265,0.0495659,-0.0401821,-0.46505,-1.14014,0.902437
-0.391171,-0.208834,0.143806,-0.410514,-0.91244,0.929753
-0.421505,-0.0820375,0.0567903,-0.44519,-1.02879,0.919337
-0.389921,0.209689,-0.169265,-0.466956,-1.23883,0.892247
-0.334164,-0.328407,0.222591,-0.363475,-0.814656,0.938601
-0.333803,0.326982,-0.270555,-0.437144,-1.19735,0.878202
-0.181692,0.497431,-0.411065,-0.315682,-0.782491,0.84799
-0.0387279,0.58359,-0.452119,-0.188826,-0.26583,0.811067
0.21503,0.630654,-0.411333,0.00332649,0.58268,0.787791
0.345947,-0.609719,0.361315,0.084501,-0.203055,0.957563
0.216623,-0.626676,0.386131,0.0085889,-0.335474,0.961898
0.346269,0.609254,-0.374094,0.0839302,0.92954,0.809125
0.582052,0.498098,-0.230557,0.168829,1.36473,0.789996
0.583267,-0.496538,0.256605,0.193848,0.111047,0.92848
0.731626,-0.326648,0.153392,0.243233,0.4177,0.901595
0.732816,0.328579,-0.124163,0.19239,1.42589,0.803096
0.779141,-0.238954,0.0944161,0.217495,0.57379,0.872446
0.778363,0.239524,-0.0820011,0.190087,1.35116,0.807865
0.961422,0.164887,0.149897,-0.869524,1.64512,0.0576628
0.821568,0.0784801,-0.0232709,0.183278,1.1317,0.819992
0.820384,-0.081697,0.0293547,0.204601,0.856215,0.848133
0.974097,-0.017057,-0.0147913,-0.888436,1.41074,0.0759798
0.95987,-0.167734,-0.153735,-0.88295,1.21071,0.0868094
0.606535,-0.756146,-0.684551,-0.549188,0.494553,0.127296
0.610906,0.756288,0.650948,-0.526007,1.63323,0.0370318
0.314651,0.92117,0.807825,-0.276646,1.22807,0.0410886
0.312754,-0.920845,-0.84383,-0.286578,0.341239,0.110679
0.197984,-0.950177,-0.864614,-0.180171,0.278796,0.116565
0.197245,0.952461,0.838379,-0.17451,1.0486,0.0449252
0.0760678,0.971047,0.866909,-0.0687681,0.882076,0.0453379
-0.0471787,0.971122,0.868186,0.041191,0.695668,0.05115
-0.014461,-0.975398,-0.903898,0.0134057,0.2549,0.0936319
-0.132368,-0.967136,-0.898509,0.12294,0.232091,0.0892309
-0.165427,0.956389,0.857174,0.147159,0.525425,0.0570227
-0.315065,0.92023,0.839522,0.286518,0.360702,0.0562603
-0.259673,-0.939174,-0.867769,0.239917,0.192647,0.0934022
-0.367548,-0.90303,-0.836409,0.340368,0.178535,0.08932
-0.424617,0.875574,0.805294,0.389733,0.247264,0.0576792
-0.653868,-0.719952,-0.663085,0.602075,0.116931,0.0910936
-0.697786,0.67877,0.633472,0.650601,0.0300916,0.0628677
-0.761184,-0.606516,-0.560793,0.703575,0.105642,0.0857712
-0.795685,0.557773,0.519635,0.740793,-0.0313573,0.0696698
-0.844451,-0.480648,-0.442984,0.77793,0.0737412,0.0880374
-0.871928,0.430182,0.401786,0.814111,-0.0443238,0.0706517
-0.908872,-0.341807,-0.315189,0.837518,0.047351,0.0871265
-0.928071,0.281472,0.260927,0.860545,-0.0620438,0.0796138
-0.953015,-0.200897,-0.187418,0.888129,0.0475858,0.0759015
-0.959502,0.138071,0.127491,0.887214,-0.0485413,0.0832389
-0.974235,-0.0463144,-0.0435918,0.913644,0.0322542,0.069618
-0.416267,-0.114157,0.0793931,-0.437973,-0.998484,0.922531
-0.445717,-0.102874,0.0573863,-0.399066,-0.931532,0.850639
-0.450499,-0.0695751,0.0367192,-0.407871,-0.959657,0.844415
-0.475234,-0.091164,0.0367766,-0.362875,-0.881212,0.786763
-0.480123,-0.0588954,0.0187574,-0.370015,-0.902496,0.77691
-0.504745,-0.0802245,0.0182425,-0.322451,-0.840351,0.732662
-0.510167,-0.0493389,0.00286996,-0.325577,-0.857537,0.720241
